datetime,NO2,SO2,CO,PM25,Ox,NO,H2S,BC,O3,PM10,NO2_palmes,UFP,NOx
2024-03-04 00:00:00+01:00,8.8088,0.29416666666666663,288.98333333333335,8.31928813559322,34.998931818181816,0.33139240506329115,0.0,0.36235483870967744,61.44799999999999,12.495384615384616,,1652.0,9.3702
2024-03-04 01:00:00+01:00,7.1921234567901235,0.08750000000000001,268.46666666666664,7.041983050847457,35.66151111111111,0.21787499999999999,0.15000000000000002,0.3061935483870967,64.04866666666666,10.444910256410257,,1966.0,7.5351234567901235
2024-03-04 02:00:00+01:00,6.156444444444444,0.035833333333333335,252.3166666666667,6.295,36.802711111111115,0.1635,0.05,0.27558064516129027,67.59377777777777,10.740923076923078,,3622.5,6.408666666666666
2024-03-04 03:00:00+01:00,5.934296296296297,0.0675,249.51666666666665,5.260034482758621,37.47242222222222,0.13799999999999998,0.05,0.24116129032258066,69.47444444444444,8.36623076923077,,4878.0,6.175382716049383
2024-03-04 04:00:00+01:00,6.737234567901234,0.2725,243.0,4.894983050847457,37.724866666666664,0.31662500000000005,0.1,0.27174193548387093,69.36555555555555,8.577692307692308,,5668.0,7.231827160493827
2024-03-04 05:00:00+01:00,9.598481481481482,0.31166666666666665,246.9333333333333,4.631559322033898,37.32602222222222,0.937625,0.2,0.2975161290322581,65.80511111111112,9.319974358974358,,7482.5,11.092567901234569
2024-03-04 06:00:00+01:00,16.476666666666667,0.4714285714285715,246.35999999999999,4.715189655172414,37.88211111111111,2.7821249999999997,0.1,0.4584516129032258,61.140888888888895,8.827307692307691,,14238.0,21.10524691358025
2024-03-04 07:00:00+01:00,24.223160493827162,0.45250000000000007,290.6166666666667,4.92706779661017,37.58306666666667,4.49525,0.7,0.5686451612903226,54.477777777777774,10.481217948717948,,20821.0,31.53340740740741
2024-03-04 08:00:00+01:00,27.764962500000003,0.48583333333333334,326.56666666666666,5.6346779661016955,38.04143181818182,5.87746835443038,0.35,0.695258064516129,52.0175,11.309805194805195,,19128.0,37.00485
2024-03-04 09:00:00+01:00,22.692291139240506,0.2658333333333333,298.9166666666667,6.203070175438596,39.037674418604645,5.262948717948718,0.1,0.5135161290322581,57.44822222222222,9.184866666666666,,11962.5,31.1546582278481
2024-03-04 09:56:00+01:00,,,,,,,,,,,11.2,,
2024-03-04 10:00:00+01:00,19.442827160493827,0.8275,298.05,6.792086206896553,39.38833333333333,5.460506329113924,0.35,0.45093548387096777,60.678,9.548,,9213.5,27.96460493827161
2024-03-04 11:00:00+01:00,18.92562962962963,1.7841666666666667,304.6166666666666,7.486258620689655,39.967666666666666,6.478354430379747,0.2,0.515,63.105111111111114,9.764013157894738,,15201.0,29.196462500000003
2024-03-04 11:11:00+01:00,,,,,,,,,,,14.0,,
2024-03-04 11:34:00+01:00,,,,,,,,,,,10.0,,
2024-03-04 12:00:00+01:00,16.338759493670885,1.4825,274.48333333333335,7.604333333333333,40.56690909090909,5.97,0.05,0.5583870967741936,66.65772727272727,9.739626666666666,,16701.0,25.714898734177215
2024-03-04 13:00:00+01:00,13.402641025641024,0.82,261.0833333333333,7.130203389830509,41.204071428571424,4.5288157894736845,0.1,0.4985666666666667,70.99372093023256,9.899445945945946,,16474.5,20.61190909090909
2024-03-04 14:00:00+01:00,13.297354430379746,0.6608333333333333,256.98333333333335,7.3404137931034485,41.64326190476191,4.192948717948718,0.05,0.5590322580645162,72.29714285714286,12.14132,5.3,22193.5,20.001075949367088
2024-03-04 14:14:00+01:00,,,,,,,,,,,6.4,,
2024-03-04 15:00:00+01:00,14.38986075949367,0.6616666666666667,268.98333333333335,6.635813559322035,42.0863488372093,4.142820512820513,0.0,0.5410645161290323,72.36860465116278,11.102473684210526,,14232.0,21.006632911392405
2024-03-04 15:37:00+01:00,,,,,,,,,,,8.9,,
2024-03-04 16:00:00+01:00,16.4742375,1.0183333333333333,289.15000000000003,6.396881355932203,42.361022727272726,3.9160759493670887,0.1,0.6236129032258064,71.06772727272727,12.617064935064935,,13688.0,22.5215
2024-03-04 17:00:00+01:00,20.004185185185186,1.1483333333333334,328.84999999999997,6.34493220338983,41.571844444444444,3.802125,0.05,0.7175806451612904,67.124,15.959733333333334,,16387.5,25.72420987654321
2024-03-04 18:00:00+01:00,24.570901234567902,0.4581818181818182,360.75,6.833559322033898,39.17735555555556,3.676625,2.05,0.7458709677419355,57.358666666666664,17.653831168831168,,20638.0,30.05822222222222
2024-03-04 19:00:00+01:00,30.170876543209875,0.23833333333333337,331.3833333333333,8.03458620689655,37.01833333333333,3.846,0.1,0.8870967741935484,45.736,16.772605263157896,,21595.5,36.116703703703706
2024-03-04 20:00:00+01:00,32.39092592592593,0.1075,342.4166666666667,9.82355172413793,35.52971111111111,4.314125,0.4,1.0218387096774193,40.233777777777775,17.574896103896105,,16972.5,38.98834567901235
2024-03-04 21:00:00+01:00,32.76695061728395,0.2758333333333333,343.59999999999997,11.279508474576271,34.20106666666667,4.9087499999999995,0.2,1.1537741935483872,36.885555555555555,18.535460526315788,,18703.5,40.36260493827161
2024-03-04 22:00:00+01:00,30.70679012345679,0.6516666666666667,365.06666666666666,13.19493220338983,32.57082222222222,3.190125,0.30000000000000004,1.1201612903225806,36.39222222222222,20.299948051948054,,19097.0,35.854962962962965
2024-03-04 23:00:00+01:00,28.225637499999998,0.14666666666666667,356.6166666666666,12.281983050847456,30.265954545454544,2.648607594936709,0.25,0.8963333333333333,34.913333333333334,18.759025974025974,,14488.0,32.5138125
2024-03-05 00:00:00+01:00,25.684312499999997,0.06000000000000002,352.0,13.219810344827586,26.91663636363636,1.7460759493670885,0.2,0.9348709677419356,31.577333333333335,19.384526315789472,,11482.0,28.54265
2024-03-05 01:00:00+01:00,24.124037037037038,0.16416666666666668,334.2166666666667,14.721224137931035,24.98948888888889,1.4805,0.2,0.9656774193548388,29.626444444444445,19.60016883116883,,9247.0,26.381320987654323
2024-03-05 02:00:00+01:00,22.30469135802469,0.14416666666666667,339.78333333333336,16.675775862068967,23.294644444444444,1.358,0.4,1.0418387096774193,27.822222222222223,20.86194805194805,,7308.0,24.41798765432099
2024-03-05 03:00:00+01:00,20.784382716049382,0.2916666666666667,320.95,17.801881355932203,22.28473333333333,1.669375,0.44999999999999996,0.9430000000000001,25.826,21.977597402597404,,6947.0,23.310765432098766
2024-03-05 04:00:00+01:00,19.91841975308642,0.27999999999999997,308.3333333333333,19.787155172413794,21.92057777777778,2.355875,0.5,0.9148064516129033,24.98977777777778,24.36918181818182,,6833.5,23.66104938271605
2024-03-05 05:00:00+01:00,21.742037037037036,0.2816666666666667,308.95,20.351610169491522,21.342844444444445,4.230875,0.6,0.9828709677419355,21.778888888888886,25.099805194805192,,7829.0,28.302716049382717
2024-03-05 06:00:00+01:00,27.096123456790124,0.3641666666666667,357.34999999999997,21.406525423728812,21.44217777777778,8.738625,1.0,1.1057096774193549,18.22222222222222,27.00279220779221,,8513.0,40.68667901234568
2024-03-05 07:00:00+01:00,33.15345679012346,0.8975,395.75,22.084118644067797,22.567755555555554,16.226875,0.7,1.3991935483870968,14.163111111111112,28.117250000000002,,14840.0,58.23504938271605
2024-03-05 08:00:00+01:00,34.030987499999995,0.8733333333333334,459.7,22.669862068965518,22.92568181818182,19.401518987341774,0.55,1.607483870967742,13.631136363636363,31.02748051948052,,16714.0,64.032425
2024-03-05 09:00:00+01:00,33.7607375,0.93,467.3833333333334,24.247,23.513954545454546,19.711772151898735,1.15,1.7003,15.232954545454545,32.53853246753247,,19519.5,63.903774999999996
2024-03-05 09:50:00+01:00,,,,,,,,,,,15.6,,
