datetime,PM25,UFP,NOx,BC,O3,CO,Ox,NO2,NO,NO2_palmes,SO2,H2S,PM10,NH3
2024-01-01 00:00:00,105.36677192982457,28612.5,19.306851851851853,1.6582903225806453,56.59340909090909,322.3833333333333,34.95320454545455,13.836567901234567,3.639875,,4.881538461538462,1.1,167.86535443037974,2.213111111111111
2024-01-01 01:00:00,47.39094827586207,19854.0,13.257123456790124,1.2976774193548388,61.78772727272727,370.4166666666667,34.83688636363637,9.973234567901235,2.17575,,3.921538461538461,1.0999999999999999,61.13808860759493,1.956
2024-01-01 02:00:00,17.661491525423727,12950.0,9.146148148148148,0.7621935483870967,62.70090909090909,292.31666666666666,34.58984090909091,7.359716049382717,1.19025,,2.9884615384615385,1.05,24.24151898734177,1.9345555555555558
2024-01-01 03:00:00,9.247406779661016,8470.0,7.918395061728395,0.42216129032258065,62.67318181818182,265.81666666666666,34.319886363636364,6.488074074074074,0.946375,,2.1192307692307693,0.05,15.274632911392404,1.8777777777777775
2024-01-01 04:00:00,7.034067796610169,8230.0,7.964691358024691,0.26841935483870966,62.8890909090909,259.06666666666666,34.32688636363636,6.486098765432099,0.9811249999999999,,1.9823076923076923,0.05,12.398,1.767111111111111
2024-01-01 05:00:00,6.488949152542373,5900.0,7.406407407407407,0.21545161290322581,63.83818181818182,262.5,34.46815909090909,5.938111111111112,0.97325,,3.3776923076923073,0.1,13.13627848101266,1.7034444444444443
2024-01-01 06:00:00,6.239120689655172,6270.0,7.573382716049382,0.24519354838709678,63.2640909090909,249.71666666666667,34.63229545454545,6.20379012345679,0.907375,,4.671428571428572,0.05,12.8096582278481,1.5566666666666666
2024-01-01 07:00:00,5.792206896551724,5180.0,7.283888888888889,0.1464516129032258,62.901363636363634,244.1833333333333,34.575022727272724,6.1055925925925925,0.7806249999999999,,1.0746153846153847,0.1,11.37226582278481,1.7417500000000001
2024-01-01 08:00:00,5.052542372881356,6400.0,6.70574074074074,0.13251612903225804,63.58454545454545,242.75,34.536522727272725,5.7227654320987655,0.6587341772151899,,0.8007692307692308,0.0,10.718126582278481,1.5865555555555555
2024-01-01 09:00:00,4.263694915254237,3330.0,6.1495750000000005,0.12770967741935485,63.50976744186047,243.46666666666667,34.08725581395349,5.2976624999999995,0.5667088607594937,,0.7446153846153846,0.1,9.496410256410257,1.807625
2024-01-01 10:00:00,4.263440677966102,1290.0,6.39920987654321,0.1458709677419355,62.92431818181819,241.21666666666667,33.67345454545455,5.422864197530864,0.6523749999999999,,0.696923076923077,0.15,8.95624358974359,1.731
2024-01-01 11:00:00,4.9648135593220335,2800.0,7.1777037037037035,0.16419354838709677,62.17386363636364,250.23333333333335,33.582136363636366,5.6137901234567895,1.02625,,0.78,0.0,10.216602564102564,1.694875
2024-01-01 12:00:00,5.6926610169491525,2300.0,7.97253086419753,0.17587096774193547,61.9475,255.04999999999998,33.642886363636364,6.023555555555555,1.27475,,0.6123076923076923,0.0,12.205076923076923,1.7878749999999999
2024-01-01 13:00:00,6.13193220338983,3240.0,8.855432098765432,0.22587096774193546,62.059090909090905,256.51666666666665,34.07927272727273,6.550777777777777,1.501875,,0.59,0.0,13.478051948051947,1.9375
2024-01-01 14:00:00,6.602508474576271,3990.0,9.386617283950617,0.24703225806451615,62.71022727272727,257.76666666666665,34.44981818181818,6.944617283950618,1.5471249999999999,,0.7061538461538461,0.0,15.980883116883117,1.947125
2024-01-01 15:00:00,6.797864406779661,6560.0,10.737641975308643,0.2797,62.4140909090909,255.30000000000004,34.84102272727273,8.089469135802469,1.667875,,0.5061538461538462,0.05,17.97453846153846,2.05
