"ID";"Geslacht";"Leeftijd";"RegioS";"Perioden";"TotaalNieuwvormingen_8";"TotaalEndocrieneVoedingsStofwZ_32";"TotaalPsychischeStoornissen_35";"TotaalZiektenVanHartEnVaatstelsel_43";"TotaalZiektenVanDeKransvaten_44";"k_711AcuutHartinfarct_45";"k_712OverigeZiektenVanDeKransvaten_46";"k_72OverigeHartziekten_47";"TotaalZiektenVanDeAdemhalingsorganen_50";"k_81Griep_51";"k_82Longontsteking_52";"TotaalChronischeAandOndersteLucht_53";"k_831Astma_54";"k_832OvChronAandOndersteLuchtw_55";"k_84OverigeZiektenAdemhalingsorganen_56";"TotaalZiektenSpierenBeendBindwfsl_64";"k_111ReumatoideArtritisEnArtrose_65";"k_112OvZktnSpierenBeendBindwfsl_66"
"260";"T001038";"10000";"PV23  ";"2024JJ00";"    3289";"     255";"    1119";"    2729";"     515";"     313";"     202";"    1005";"    1035";"      77";"     307";"     477";"      19";"     458";"     174";"     102";"      24";"      78"
"287";"T001038";"10000";"PV24  ";"2022JJ00";"     867";"      74";"     144";"     640";"     151";"      99";"      52";"     198";"     217";"      13";"      42";"     140";"       0";"     140";"      22";"      18";"       7";"      11"
"288";"T001038";"10000";"PV24  ";"2023JJ00";"     900";"      87";"     196";"     639";"     155";"     107";"      48";"     220";"     210";"      14";"      49";"     112";"       4";"     108";"      35";"      23";"       8";"      15"
"289";"T001038";"10000";"PV24  ";"2024JJ00";"     910";"      75";"     185";"     675";"     158";"      97";"      61";"     203";"     273";"      16";"      81";"     146";"       9";"     137";"      30";"      17";"       2";"      15"
"316";"T001038";"10000";"PV25  ";"2022JJ00";"    6082";"     496";"    1754";"    5082";"    1090";"     630";"     460";"    1700";"    1618";"      72";"     408";"     887";"      23";"     864";"     251";"     165";"      61";"     104"
"317";"T001038";"10000";"PV25  ";"2023JJ00";"    5982";"     502";"    1774";"    4989";"    1076";"     646";"     430";"    1642";"    1735";"      59";"     541";"     874";"      21";"     853";"     261";"     166";"      56";"     110"
"318";"T001038";"10000";"PV25  ";"2024JJ00";"    5895";"     481";"    1864";"    4989";"    1081";"     653";"     428";"    1648";"    2016";"     114";"     623";"    1018";"      35";"     983";"     261";"     165";"      59";"     106"
"345";"T001038";"10000";"PV26  ";"2022JJ00";"    3061";"     234";"     919";"    2604";"     555";"     323";"     232";"     959";"     862";"      59";"     261";"     422";"       9";"     413";"     120";"      89";"      27";"      62"
"346";"T001038";"10000";"PV26  ";"2023JJ00";"    3217";"     242";"     951";"    2503";"     519";"     330";"     189";"     881";"     874";"      29";"     298";"     412";"      18";"     394";"     135";"     110";"      51";"      59"
"347";"T001038";"10000";"PV26  ";"2024JJ00";"    3128";"     235";"     980";"    2403";"     500";"     291";"     209";"     853";"     988";"      65";"     324";"     473";"      21";"     452";"     126";"      78";"      25";"      53"
