"ID";"Geslacht";"Leeftijd";"RegioS";"Perioden";"TotaalNieuwvormingen_8";"TotaalEndocrieneVoedingsStofwZ_32";"TotaalPsychischeStoornissen_35";"TotaalZiektenVanHartEnVaatstelsel_43";"TotaalZiektenVanDeKransvaten_44";"k_711AcuutHartinfarct_45";"k_712OverigeZiektenVanDeKransvaten_46";"k_72OverigeHartziekten_47";"TotaalZiektenVanDeAdemhalingsorganen_50";"k_81Griep_51";"k_82Longontsteking_52";"TotaalChronischeAandOndersteLucht_53";"k_831Astma_54";"k_832OvChronAandOndersteLuchtw_55";"k_84OverigeZiektenAdemhalingsorganen_56";"TotaalZiektenSpierenBeendBindwfsl_64";"k_111ReumatoideArtritisEnArtrose_65";"k_112OvZktnSpierenBeendBindwfsl_66"
"2783";"T001038";"41650";"PV28  ";"2024JJ00";"     272";"      38";"      62";"     107";"      21";"      16";"       5";"      29";"      31";"       7";"      13";"       3";"       1";"       2";"       8";"       4";"       0";"       4"
"2810";"T001038";"41650";"PV29  ";"2022JJ00";"      28";"       2";"       5";"      12";"       2";"       1";"       1";"       5";"       4";"       1";"       2";"       1";"       0";"       1";"       0";"       1";"       0";"       1"
"2811";"T001038";"41650";"PV29  ";"2023JJ00";"      22";"       3";"       9";"      14";"       6";"       6";"       0";"       2";"       2";"       0";"       0";"       2";"       1";"       1";"       0";"       0";"       0";"       0"
"2812";"T001038";"41650";"PV29  ";"2024JJ00";"      24";"       2";"       7";"       4";"       1";"       1";"       0";"       2";"       5";"       2";"       1";"       2";"       0";"       2";"       0";"       1";"       0";"       1"
"2839";"T001038";"41650";"PV30  ";"2022JJ00";"     199";"      24";"      35";"      80";"      17";"      13";"       4";"      27";"      20";"       1";"       6";"       7";"       2";"       5";"       6";"       3";"       0";"       3"
"2840";"T001038";"41650";"PV30  ";"2023JJ00";"     210";"      25";"      41";"      73";"      17";"      14";"       3";"      27";"      18";"       2";"       6";"       5";"       2";"       3";"       5";"       5";"       0";"       5"
"2841";"T001038";"41650";"PV30  ";"2024JJ00";"     189";"      18";"      38";"      71";"      13";"      10";"       3";"      28";"      30";"       2";"      11";"       5";"       0";"       5";"      12";"       4";"       0";"       4"
"2868";"T001038";"41650";"PV31  ";"2022JJ00";"      95";"      11";"      21";"      33";"       9";"       9";"       0";"      14";"      10";"       1";"       2";"       4";"       0";"       4";"       3";"       3";"       0";"       3"
"2869";"T001038";"41650";"PV31  ";"2023JJ00";"      79";"       9";"      16";"      38";"       8";"       4";"       4";"      15";"      12";"       1";"       4";"       3";"       0";"       3";"       4";"       2";"       1";"       1"
"2870";"T001038";"41650";"PV31  ";"2024JJ00";"      87";"       9";"      14";"      31";"       4";"       2";"       2";"      17";"       8";"       4";"       3";"       0";"       0";"       0";"       1";"       1";"       0";"       1"
"2897";"T001038";"41650";"CR01  ";"2022JJ00";"       7";"       2";"       2";"       4";"       1";"       1";"       0";"       3";"       2";"       0";"       0";"       2";"       0";"       2";"       0";"       0";"       0";"       0"
"2898";"T001038";"41650";"CR01  ";"2023JJ00";"      12";"       4";"       3";"       5";"       2";"       2";"       0";"       1";"       1";"       0";"       1";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"2899";"T001038";"41650";"CR01  ";"2024JJ00";"       9";"       3";"       4";"       4";"       1";"       0";"       1";"       1";"       3";"       0";"       2";"       1";"       1";"       0";"       0";"       0";"       0";"       0"
"2926";"T001038";"41650";"CR02  ";"2022JJ00";"       3";"       0";"       0";"       3";"       1";"       0";"       1";"       2";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"2927";"T001038";"41650";"CR02  ";"2023JJ00";"       2";"       0";"       1";"       1";"       0";"       0";"       0";"       1";"       2";"       0";"       0";"       2";"       1";"       1";"       0";"       0";"       0";"       0"
"2928";"T001038";"41650";"CR02  ";"2024JJ00";"       5";"       1";"       2";"       0";"       0";"       0";"       0";"       0";"       2";"       0";"       1";"       0";"       0";"       0";"       1";"       0";"       0";"       0"
"2955";"T001038";"41650";"CR03  ";"2022JJ00";"      42";"       3";"       9";"      12";"       4";"       3";"       1";"       4";"       4";"       2";"       0";"       1";"       0";"       1";"       1";"       1";"       0";"       1"
"2956";"T001038";"41650";"CR03  ";"2023JJ00";"      41";"       5";"      12";"      14";"       8";"       6";"       2";"       1";"       4";"       0";"       2";"       2";"       0";"       2";"       0";"       0";"       0";"       0"
"2957";"T001038";"41650";"CR03  ";"2024JJ00";"      37";"       3";"       8";"      13";"       2";"       0";"       2";"       7";"       2";"       0";"       1";"       1";"       0";"       1";"       0";"       0";"       0";"       0"
"2984";"T001038";"41650";"CR04  ";"2022JJ00";"      21";"       4";"       5";"      11";"       5";"       5";"       0";"       2";"       3";"       0";"       0";"       1";"       0";"       1";"       2";"       1";"       0";"       1"
"2985";"T001038";"41650";"CR04  ";"2023JJ00";"      16";"       1";"       7";"      10";"       3";"       2";"       1";"       4";"       2";"       0";"       0";"       1";"       0";"       1";"       1";"       1";"       0";"       1"
"2986";"T001038";"41650";"CR04  ";"2024JJ00";"      25";"       2";"       3";"       9";"       4";"       2";"       2";"       2";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"3013";"T001038";"41650";"CR05  ";"2022JJ00";"      14";"       0";"       3";"       1";"       0";"       0";"       0";"       1";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       1";"       0";"       1"
"3014";"T001038";"41650";"CR05  ";"2023JJ00";"       6";"       1";"       1";"       6";"       2";"       2";"       0";"       1";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"3015";"T001038";"41650";"CR05  ";"2024JJ00";"      10";"       0";"       1";"       3";"       1";"       1";"       0";"       2";"       4";"       0";"       3";"       0";"       0";"       0";"       1";"       0";"       0";"       0"
"3042";"T001038";"41650";"CR06  ";"2022JJ00";"      18";"       0";"       6";"       3";"       1";"       1";"       0";"       2";"       2";"       1";"       0";"       0";"       0";"       0";"       1";"       0";"       0";"       0"
"3043";"T001038";"41650";"CR06  ";"2023JJ00";"      12";"       1";"       1";"      10";"       1";"       1";"       0";"       2";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"3044";"T001038";"41650";"CR06  ";"2024JJ00";"      21";"       0";"       5";"       4";"       0";"       0";"       0";"       2";"       2";"       0";"       1";"       1";"       1";"       0";"       0";"       1";"       0";"       1"
"3071";"T001038";"41650";"CR07  ";"2022JJ00";"      26";"       4";"       4";"       6";"       3";"       2";"       1";"       2";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       1";"       1";"       0"
"3072";"T001038";"41650";"CR07  ";"2023JJ00";"      12";"       2";"       6";"       2";"       1";"       1";"       0";"       1";"       5";"       0";"       3";"       1";"       0";"       1";"       1";"       0";"       0";"       0"
"3073";"T001038";"41650";"CR07  ";"2024JJ00";"       7";"       2";"       3";"       5";"       1";"       1";"       0";"       2";"       2";"       0";"       2";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"3100";"T001038";"41650";"CR08  ";"2022JJ00";"      21";"       2";"       4";"       4";"       1";"       1";"       0";"       3";"       2";"       0";"       1";"       1";"       1";"       0";"       0";"       0";"       0";"       0"
"3101";"T001038";"41650";"CR08  ";"2023JJ00";"      16";"       4";"       0";"       5";"       2";"       2";"       0";"       1";"       3";"       0";"       0";"       1";"       0";"       1";"       2";"       3";"       1";"       2"
"3102";"T001038";"41650";"CR08  ";"2024JJ00";"      11";"       2";"       5";"       9";"       1";"       1";"       0";"       3";"       5";"       0";"       2";"       3";"       0";"       3";"       0";"       0";"       0";"       0"
"3129";"T001038";"41650";"CR09  ";"2022JJ00";"       9";"       5";"       1";"       3";"       0";"       0";"       0";"       1";"       3";"       0";"       1";"       1";"       1";"       0";"       1";"       0";"       0";"       0"
"3130";"T001038";"41650";"CR09  ";"2023JJ00";"      12";"       2";"       3";"       2";"       0";"       0";"       0";"       0";"       1";"       0";"       1";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"3131";"T001038";"41650";"CR09  ";"2024JJ00";"      11";"       1";"       5";"       7";"       4";"       4";"       0";"       2";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"3158";"T001038";"41650";"CR10  ";"2022JJ00";"      31";"       5";"       5";"      11";"       6";"       5";"       1";"       5";"       6";"       2";"       1";"       0";"       0";"       0";"       3";"       0";"       0";"       0"
"3159";"T001038";"41650";"CR10  ";"2023JJ00";"      24";"       2";"       4";"      19";"       5";"       4";"       1";"      10";"       3";"       0";"       1";"       0";"       0";"       0";"       2";"       0";"       0";"       0"
"3160";"T001038";"41650";"CR10  ";"2024JJ00";"      39";"       4";"       9";"      12";"       2";"       1";"       1";"       6";"       1";"       0";"       0";"       0";"       0";"       0";"       1";"       1";"       0";"       1"
"3187";"T001038";"41650";"CR11  ";"2022JJ00";"      14";"       1";"       2";"       1";"       0";"       0";"       0";"       1";"       2";"       0";"       1";"       0";"       0";"       0";"       1";"       0";"       0";"       0"
"3188";"T001038";"41650";"CR11  ";"2023JJ00";"      10";"       0";"       4";"      13";"       3";"       2";"       1";"       6";"       2";"       1";"       0";"       1";"       0";"       1";"       0";"       0";"       0";"       0"
"3189";"T001038";"41650";"CR11  ";"2024JJ00";"      13";"       0";"       0";"       4";"       1";"       1";"       0";"       0";"       1";"       0";"       0";"       0";"       0";"       0";"       1";"       1";"       0";"       1"
"3216";"T001038";"41650";"CR12  ";"2022JJ00";"      68";"       5";"       6";"      20";"       8";"       4";"       4";"       5";"      11";"       2";"       2";"       4";"       0";"       4";"       3";"       0";"       0";"       0"
"3217";"T001038";"41650";"CR12  ";"2023JJ00";"      74";"       8";"       6";"      13";"       0";"       0";"       0";"       6";"       5";"       2";"       2";"       1";"       0";"       1";"       0";"       1";"       0";"       1"
"3218";"T001038";"41650";"CR12  ";"2024JJ00";"      56";"       4";"      15";"      17";"       3";"       2";"       1";"       3";"       4";"       1";"       0";"       0";"       0";"       0";"       3";"       3";"       0";"       3"
"3245";"T001038";"41650";"CR13  ";"2022JJ00";"      48";"       6";"       7";"      27";"       8";"       3";"       5";"       7";"       3";"       1";"       2";"       0";"       0";"       0";"       0";"       1";"       1";"       0"
"3246";"T001038";"41650";"CR13  ";"2023JJ00";"      58";"       8";"       6";"      21";"       8";"       7";"       1";"       7";"       2";"       0";"       1";"       0";"       0";"       0";"       1";"       1";"       0";"       1"
"3247";"T001038";"41650";"CR13  ";"2024JJ00";"      49";"       6";"      13";"      25";"       3";"       3";"       0";"       8";"       6";"       0";"       2";"       2";"       1";"       1";"       2";"       2";"       0";"       2"
"3274";"T001038";"41650";"CR14  ";"2022JJ00";"      30";"       4";"       3";"      11";"       3";"       3";"       0";"       3";"       4";"       1";"       0";"       2";"       0";"       2";"       1";"       0";"       0";"       0"
"3275";"T001038";"41650";"CR14  ";"2023JJ00";"      33";"       4";"       4";"      16";"       4";"       4";"       0";"       6";"       4";"       2";"       1";"       0";"       0";"       0";"       1";"       0";"       0";"       0"
"3276";"T001038";"41650";"CR14  ";"2024JJ00";"      21";"       4";"       5";"      13";"       4";"       4";"       0";"       3";"       3";"       1";"       1";"       1";"       1";"       0";"       0";"       0";"       0";"       0"
"3303";"T001038";"41650";"CR15  ";"2022JJ00";"      75";"       8";"       8";"      28";"      13";"      10";"       3";"       3";"       6";"       1";"       2";"       2";"       0";"       2";"       1";"       0";"       0";"       0"
"3304";"T001038";"41650";"CR15  ";"2023JJ00";"      54";"       7";"       8";"      14";"       2";"       1";"       1";"       4";"       6";"       0";"       4";"       2";"       0";"       2";"       0";"       0";"       0";"       0"
"3305";"T001038";"41650";"CR15  ";"2024JJ00";"      53";"       7";"       9";"      17";"       2";"       1";"       1";"       5";"       5";"       0";"       2";"       3";"       0";"       3";"       0";"       2";"       0";"       2"
"3332";"T001038";"41650";"CR16  ";"2022JJ00";"      27";"       3";"       5";"       9";"       6";"       4";"       2";"       1";"       1";"       1";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"3333";"T001038";"41650";"CR16  ";"2023JJ00";"      13";"       2";"       3";"       7";"       0";"       0";"       0";"       3";"       2";"       0";"       1";"       0";"       0";"       0";"       1";"       0";"       0";"       0"
"3334";"T001038";"41650";"CR16  ";"2024JJ00";"      25";"       2";"       4";"       6";"       1";"       0";"       1";"       2";"       1";"       0";"       1";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"3361";"T001038";"41650";"CR17  ";"2022JJ00";"     104";"       8";"      14";"      50";"       8";"       4";"       4";"      17";"      10";"       1";"       4";"       3";"       1";"       2";"       2";"       4";"       0";"       4"
"3362";"T001038";"41650";"CR17  ";"2023JJ00";"      97";"       7";"      16";"      42";"       5";"       4";"       1";"      17";"       8";"       2";"       4";"       1";"       1";"       0";"       1";"       2";"       0";"       2"
"3363";"T001038";"41650";"CR17  ";"2024JJ00";"     112";"       6";"      19";"      37";"       4";"       3";"       1";"      17";"       4";"       0";"       2";"       0";"       0";"       0";"       2";"       2";"       0";"       2"
"3390";"T001038";"41650";"CR18  ";"2022JJ00";"      42";"       5";"       8";"      17";"       2";"       2";"       0";"       2";"       2";"       0";"       1";"       0";"       0";"       0";"       1";"       1";"       0";"       1"
"3391";"T001038";"41650";"CR18  ";"2023JJ00";"      26";"       0";"       4";"      11";"       4";"       3";"       1";"       3";"       2";"       0";"       1";"       1";"       0";"       1";"       0";"       0";"       0";"       0"
"3392";"T001038";"41650";"CR18  ";"2024JJ00";"      43";"       2";"       4";"      11";"       0";"       0";"       0";"       2";"       5";"       1";"       1";"       1";"       0";"       1";"       2";"       0";"       0";"       0"
"3419";"T001038";"41650";"CR19  ";"2022JJ00";"      21";"       4";"       2";"       9";"       2";"       2";"       0";"       3";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       1";"       0";"       1"
"3420";"T001038";"41650";"CR19  ";"2023JJ00";"      18";"       0";"       5";"       8";"       4";"       3";"       1";"       1";"       4";"       1";"       2";"       0";"       0";"       0";"       1";"       0";"       0";"       0"
"3421";"T001038";"41650";"CR19  ";"2024JJ00";"      29";"       0";"       5";"       3";"       2";"       1";"       1";"       0";"       1";"       1";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"3448";"T001038";"41650";"CR20  ";"2022JJ00";"      16";"       4";"       3";"       5";"       3";"       3";"       0";"       1";"       2";"       0";"       0";"       1";"       0";"       1";"       1";"       0";"       0";"       0"
"3449";"T001038";"41650";"CR20  ";"2023JJ00";"       9";"       1";"       2";"       5";"       1";"       1";"       0";"       3";"       4";"       2";"       1";"       0";"       0";"       0";"       1";"       0";"       0";"       0"
"3450";"T001038";"41650";"CR20  ";"2024JJ00";"      14";"       1";"       2";"       6";"       2";"       2";"       0";"       1";"       1";"       0";"       0";"       1";"       0";"       1";"       0";"       0";"       0";"       0"
"3477";"T001038";"41650";"CR21  ";"2022JJ00";"      24";"       2";"       3";"       4";"       1";"       1";"       0";"       0";"       4";"       2";"       0";"       2";"       0";"       2";"       0";"       0";"       0";"       0"
"3478";"T001038";"41650";"CR21  ";"2023JJ00";"      16";"       0";"       3";"       3";"       2";"       2";"       0";"       0";"       1";"       0";"       0";"       1";"       0";"       1";"       0";"       1";"       0";"       1"
"3479";"T001038";"41650";"CR21  ";"2024JJ00";"      16";"       2";"       5";"       5";"       3";"       2";"       1";"       1";"       2";"       1";"       0";"       0";"       0";"       0";"       1";"       0";"       0";"       0"
"3506";"T001038";"41650";"CR22  ";"2022JJ00";"      14";"       1";"       3";"      10";"       4";"       3";"       1";"       3";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"3507";"T001038";"41650";"CR22  ";"2023JJ00";"      11";"       3";"       3";"       2";"       0";"       0";"       0";"       1";"       3";"       1";"       1";"       1";"       1";"       0";"       0";"       0";"       0";"       0"
"3508";"T001038";"41650";"CR22  ";"2024JJ00";"      15";"       1";"       4";"       6";"       2";"       1";"       1";"       3";"       1";"       0";"       0";"       0";"       0";"       0";"       1";"       1";"       0";"       1"
"3535";"T001038";"41650";"CR23  ";"2022JJ00";"     124";"      11";"      16";"      43";"       8";"       5";"       3";"      15";"       5";"       1";"       2";"       2";"       0";"       2";"       0";"       5";"       0";"       5"
"3536";"T001038";"41650";"CR23  ";"2023JJ00";"      89";"      11";"      19";"      39";"       4";"       4";"       0";"      13";"      11";"       2";"       2";"       4";"       1";"       3";"       3";"       1";"       0";"       1"
"3537";"T001038";"41650";"CR23  ";"2024JJ00";"     112";"       8";"      23";"      33";"       5";"       5";"       0";"      16";"      10";"       1";"       3";"       2";"       1";"       1";"       4";"       0";"       0";"       0"
"3564";"T001038";"41650";"CR24  ";"2022JJ00";"      22";"       6";"       1";"       4";"       0";"       0";"       0";"       1";"       2";"       2";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"3565";"T001038";"41650";"CR24  ";"2023JJ00";"      18";"       0";"       1";"       6";"       1";"       1";"       0";"       4";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"3566";"T001038";"41650";"CR24  ";"2024JJ00";"      10";"       2";"       4";"       3";"       1";"       1";"       0";"       1";"       1";"       0";"       0";"       1";"       0";"       1";"       0";"       0";"       0";"       0"
"3593";"T001038";"41650";"CR25  ";"2022JJ00";"      37";"       0";"       5";"      13";"       3";"       2";"       1";"       8";"       4";"       2";"       1";"       0";"       0";"       0";"       1";"       1";"       0";"       1"
"3594";"T001038";"41650";"CR25  ";"2023JJ00";"      37";"       5";"       6";"      13";"       2";"       0";"       2";"       4";"       6";"       0";"       2";"       1";"       1";"       0";"       3";"       0";"       0";"       0"
"3595";"T001038";"41650";"CR25  ";"2024JJ00";"      26";"       8";"      11";"       9";"       1";"       0";"       1";"       3";"       3";"       1";"       0";"       0";"       0";"       0";"       2";"       0";"       0";"       0"
"3622";"T001038";"41650";"CR26  ";"2022JJ00";"      72";"      16";"      13";"      28";"       9";"       7";"       2";"       9";"       6";"       1";"       3";"       0";"       0";"       0";"       2";"       1";"       0";"       1"
"3623";"T001038";"41650";"CR26  ";"2023JJ00";"      57";"       3";"       8";"      22";"       6";"       6";"       0";"       8";"      10";"       5";"       3";"       0";"       0";"       0";"       2";"       3";"       0";"       3"
"3624";"T001038";"41650";"CR26  ";"2024JJ00";"      72";"       7";"      14";"      35";"       4";"       3";"       1";"      10";"       5";"       1";"       2";"       1";"       0";"       1";"       1";"       1";"       0";"       1"
"3651";"T001038";"41650";"CR27  ";"2022JJ00";"      22";"       3";"       0";"       5";"       1";"       1";"       0";"       2";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"3652";"T001038";"41650";"CR27  ";"2023JJ00";"      14";"       1";"       0";"       5";"       0";"       0";"       0";"       2";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       1";"       0";"       1"
"3653";"T001038";"41650";"CR27  ";"2024JJ00";"      16";"       1";"       1";"       2";"       1";"       0";"       1";"       1";"       3";"       0";"       1";"       0";"       0";"       0";"       2";"       0";"       0";"       0"
"3680";"T001038";"41650";"CR28  ";"2022JJ00";"      34";"       2";"       4";"      10";"       3";"       2";"       1";"       2";"       1";"       1";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"3681";"T001038";"41650";"CR28  ";"2023JJ00";"      23";"       1";"       4";"       9";"       1";"       1";"       0";"       3";"       2";"       1";"       1";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"3682";"T001038";"41650";"CR28  ";"2024JJ00";"      20";"       1";"       4";"       4";"       1";"       1";"       0";"       1";"       2";"       0";"       1";"       0";"       0";"       0";"       1";"       1";"       0";"       1"
"3709";"T001038";"41650";"CR29  ";"2022JJ00";"     113";"      18";"      14";"      52";"      12";"      10";"       2";"      18";"       9";"       2";"       4";"       2";"       0";"       2";"       1";"       1";"       0";"       1"
"3710";"T001038";"41650";"CR29  ";"2023JJ00";"     123";"      12";"      16";"      46";"      17";"      13";"       4";"      13";"       7";"       1";"       2";"       3";"       2";"       1";"       1";"       3";"       0";"       3"
"3711";"T001038";"41650";"CR29  ";"2024JJ00";"     122";"      18";"      25";"      48";"      13";"      11";"       2";"      12";"      15";"       4";"       8";"       2";"       1";"       1";"       1";"       2";"       0";"       2"
"3738";"T001038";"41650";"CR30  ";"2022JJ00";"      26";"       1";"       1";"      13";"       3";"       2";"       1";"       0";"       2";"       0";"       1";"       1";"       0";"       1";"       0";"       0";"       0";"       0"
"3739";"T001038";"41650";"CR30  ";"2023JJ00";"      24";"       2";"       4";"       2";"       1";"       1";"       0";"       1";"       5";"       1";"       3";"       1";"       0";"       1";"       0";"       0";"       0";"       0"
"3740";"T001038";"41650";"CR30  ";"2024JJ00";"      16";"       3";"       7";"       9";"       1";"       1";"       0";"       2";"       3";"       1";"       1";"       0";"       0";"       0";"       1";"       0";"       0";"       0"
"3767";"T001038";"41650";"CR31  ";"2022JJ00";"       8";"       0";"       1";"       2";"       0";"       0";"       0";"       2";"       2";"       0";"       1";"       1";"       0";"       1";"       0";"       0";"       0";"       0"
"3768";"T001038";"41650";"CR31  ";"2023JJ00";"       6";"       2";"       3";"       3";"       1";"       1";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"3769";"T001038";"41650";"CR31  ";"2024JJ00";"       7";"       1";"       1";"       0";"       0";"       0";"       0";"       0";"       2";"       0";"       1";"       1";"       0";"       1";"       0";"       0";"       0";"       0"
"3796";"T001038";"41650";"CR32  ";"2022JJ00";"      20";"       2";"       4";"      10";"       2";"       1";"       1";"       3";"       2";"       1";"       1";"       0";"       0";"       0";"       0";"       1";"       0";"       1"
"3797";"T001038";"41650";"CR32  ";"2023JJ00";"      16";"       1";"       6";"      11";"       5";"       5";"       0";"       2";"       2";"       0";"       0";"       2";"       1";"       1";"       0";"       0";"       0";"       0"
"3798";"T001038";"41650";"CR32  ";"2024JJ00";"      17";"       1";"       6";"       4";"       1";"       1";"       0";"       2";"       3";"       2";"       0";"       1";"       0";"       1";"       0";"       1";"       0";"       1"
"3825";"T001038";"41650";"CR33  ";"2022JJ00";"      50";"       3";"      11";"      17";"       4";"       3";"       1";"       6";"       8";"       1";"       2";"       4";"       2";"       2";"       1";"       0";"       0";"       0"
"3826";"T001038";"41650";"CR33  ";"2023JJ00";"      55";"       7";"       7";"      15";"       2";"       2";"       0";"       6";"       3";"       0";"       1";"       2";"       0";"       2";"       0";"       0";"       0";"       0"
"3827";"T001038";"41650";"CR33  ";"2024JJ00";"      53";"       3";"      10";"      21";"       5";"       4";"       1";"       6";"       7";"       2";"       2";"       1";"       0";"       1";"       2";"       0";"       0";"       0"
"3854";"T001038";"41650";"CR34  ";"2022JJ00";"      49";"       8";"       6";"      21";"       3";"       1";"       2";"      10";"       2";"       0";"       0";"       1";"       0";"       1";"       1";"       1";"       0";"       1"
"3855";"T001038";"41650";"CR34  ";"2023JJ00";"      38";"       5";"       4";"      17";"       5";"       4";"       1";"       4";"       4";"       0";"       1";"       1";"       1";"       0";"       2";"       0";"       0";"       0"
"3856";"T001038";"41650";"CR34  ";"2024JJ00";"      36";"       2";"       5";"      11";"       1";"       1";"       0";"       7";"       8";"       0";"       5";"       0";"       0";"       0";"       3";"       1";"       0";"       1"
"3883";"T001038";"41650";"CR35  ";"2022JJ00";"      40";"       4";"      10";"      18";"       6";"       6";"       0";"       6";"       6";"       0";"       2";"       2";"       0";"       2";"       2";"       0";"       0";"       0"
"3884";"T001038";"41650";"CR35  ";"2023JJ00";"      54";"       6";"      19";"      19";"       4";"       3";"       1";"       8";"       6";"       2";"       2";"       0";"       0";"       0";"       2";"       3";"       0";"       3"
"3885";"T001038";"41650";"CR35  ";"2024JJ00";"      47";"       6";"      13";"      16";"       1";"       1";"       0";"       6";"       4";"       0";"       1";"       1";"       0";"       1";"       2";"       1";"       0";"       1"
"3912";"T001038";"41650";"CR36  ";"2022JJ00";"      60";"       9";"       8";"      24";"       4";"       3";"       1";"       5";"       4";"       0";"       2";"       0";"       0";"       0";"       2";"       2";"       0";"       2"
"3913";"T001038";"41650";"CR36  ";"2023JJ00";"      63";"       7";"      11";"      22";"       6";"       5";"       1";"       9";"       5";"       0";"       2";"       2";"       1";"       1";"       1";"       2";"       0";"       2"
"3914";"T001038";"41650";"CR36  ";"2024JJ00";"      53";"       7";"      10";"      23";"       6";"       4";"       2";"       9";"      11";"       0";"       3";"       3";"       0";"       3";"       5";"       2";"       0";"       2"
"3941";"T001038";"41650";"CR37  ";"2022JJ00";"      34";"       4";"       4";"       7";"       1";"       1";"       0";"       2";"       2";"       0";"       0";"       1";"       0";"       1";"       1";"       1";"       0";"       1"
"3942";"T001038";"41650";"CR37  ";"2023JJ00";"      21";"       1";"       3";"       8";"       0";"       0";"       0";"       5";"       1";"       0";"       1";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"3943";"T001038";"41650";"CR37  ";"2024JJ00";"      22";"       1";"       2";"       6";"       3";"       2";"       1";"       1";"       2";"       2";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"3970";"T001038";"41650";"CR38  ";"2022JJ00";"      18";"       0";"       4";"       9";"       3";"       3";"       0";"       2";"       2";"       1";"       1";"       0";"       0";"       0";"       0";"       1";"       0";"       1"
"3971";"T001038";"41650";"CR38  ";"2023JJ00";"      15";"       1";"       3";"       5";"       2";"       1";"       1";"       0";"       1";"       0";"       1";"       0";"       0";"       0";"       0";"       1";"       1";"       0"
"3972";"T001038";"41650";"CR38  ";"2024JJ00";"      21";"       3";"       3";"       7";"       0";"       0";"       0";"       5";"       1";"       1";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"3999";"T001038";"41650";"CR39  ";"2022JJ00";"      43";"       7";"      13";"      17";"       5";"       5";"       0";"      10";"       6";"       0";"       1";"       3";"       0";"       3";"       2";"       1";"       0";"       1"
"4000";"T001038";"41650";"CR39  ";"2023JJ00";"      43";"       7";"      10";"      25";"       6";"       3";"       3";"      10";"      10";"       1";"       2";"       3";"       0";"       3";"       4";"       1";"       0";"       1"
"4001";"T001038";"41650";"CR39  ";"2024JJ00";"      44";"       5";"       9";"      18";"       1";"       0";"       1";"      11";"       5";"       1";"       3";"       0";"       0";"       0";"       1";"       1";"       0";"       1"
"4028";"T001038";"41650";"CR40  ";"2022JJ00";"      35";"       4";"       5";"      14";"       4";"       4";"       0";"       4";"       1";"       1";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"4029";"T001038";"41650";"CR40  ";"2023JJ00";"      38";"       0";"       5";"      14";"       4";"       2";"       2";"       5";"       1";"       1";"       0";"       0";"       0";"       0";"       0";"       1";"       0";"       1"
"4030";"T001038";"41650";"CR40  ";"2024JJ00";"      30";"       2";"       3";"      18";"       3";"       3";"       0";"       4";"       3";"       0";"       3";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"4057";"T001038";"41650";"GM0034";"2022JJ00";"      20";"       2";"       2";"       4";"       1";"       1";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"4058";"T001038";"41650";"GM0034";"2023JJ00";"      21";"       0";"       4";"       6";"       3";"       1";"       2";"       2";"       1";"       1";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"4059";"T001038";"41650";"GM0034";"2024JJ00";"      19";"       1";"       2";"      10";"       2";"       2";"       0";"       3";"       3";"       0";"       3";"       0";"       0";"       0";"       0";"       0";"       0";"       0"
"4086";"T001038";"41650";"GM0307";"2022JJ00";"      10";"       3";"       1";"       8";"       2";"       1";"       1";"       4";"       2";"       0";"       0";"       1";"       0";"       1";"       1";"       0";"       0";"       0"
