datetime,NO2,SO2,CO,PM25,Ox,NO,NH3,H2S,BC,O3,PM10,NO2_palmes,UFP,NOx
2023-01-01 00:00:00,13.378654320987655,7.22,215.71666666666667,108.41879999999999,30.10847916666667,3.3808705882352945,3.5585,0.8999999999999999,1.6858275862068965,47.57392,163.59111392405063,,37690.0,18.375482352941177
2023-01-01 01:00:00,9.147658536585364,6.110769230769231,214.15,34.08456363636364,30.326122448979593,1.998418604651163,3.690428571428572,0.55,1.2556206896551723,52.889520000000005,70.7567341772152,,22500.0,12.088988372093024
2023-01-01 02:00:00,6.323246913580247,4.649230769230769,196.48333333333335,15.726759259259259,30.604612244897957,1.2113294117647058,3.541571428571429,1.0,0.7845172413793103,55.61852,32.97418987341772,,11410.0,8.14614117647059
2023-01-01 03:00:00,5.29109756097561,4.441538461538462,180.83333333333334,10.176727272727273,31.121877551020408,0.9931046511627907,3.5785714285714283,0.7,0.5835862068965517,57.53494,23.27394936708861,,6480.0,6.787127906976744
2023-01-01 04:00:00,4.701333333333333,1.8030769230769232,178.75,7.2875272727272735,31.85934693877551,0.855,3.4695714285714283,0.45,0.4298620689655172,59.49752,19.20901265822785,,5270.0,5.987823529411765
2023-01-01 05:00:00,4.587219512195122,1.09,167.56666666666666,5.5487777777777785,33.26961224489796,0.7805697674418606,3.2135714285714285,0.8500000000000001,0.32772413793103444,62.29232,14.147987341772152,,4820.0,5.79203488372093
2023-01-01 06:00:00,4.9239390243902434,1.2422222222222221,160.6,4.943254545454546,34.31328571428571,0.7459767441860464,3.3428571428571425,0.7000000000000001,0.270448275862069,64.28232,13.991,,4940.0,6.008895348837209
2023-01-01 07:00:00,5.708560975609756,1.2384615384615385,163.79999999999998,4.815981481481481,35.24091836734694,0.6714767441860465,3.0427142857142857,0.44999999999999996,0.22403448275862067,65.43072000000001,15.437936708860759,,7610.0,6.671046511627908
2023-01-01 08:00:00,6.921146341463414,1.4546153846153846,170.31666666666666,4.191584905660378,35.68381632653061,0.6453953488372093,2.7144285714285714,0.7,0.23693103448275862,64.74372,14.391303797468355,,6700.0,7.821686046511627
2023-01-01 09:00:00,6.802707317073171,1.8523076923076924,176.46666666666667,4.545333333333334,35.12389795918367,0.6023023255813954,3.7378571428571434,0.8,0.2063793103448276,63.78592,14.111810126582279,,9030.0,7.623383720930232
2023-01-01 10:00:00,7.192609756097561,2.3392307692307694,181.6833333333333,4.027648148148148,34.27106122448979,0.9228837209302325,3.6214285714285714,1.3,0.22682758620689655,61.9233,13.626240506329113,,11590.0,8.493755813953488
2023-01-01 11:00:00,7.7610121951219515,3.736923076923077,200.51666666666665,4.193272727272727,33.695244897959185,1.3609302325581396,4.735142857142857,0.75,0.25475862068965516,60.44649999999999,11.673151898734178,,17610.0,9.721627906976744
2023-01-01 12:00:00,7.754320987654321,2.9292307692307693,187.96666666666667,4.694127272727273,32.93140816326531,1.5641058823529412,4.525571428571428,1.4500000000000002,0.27393103448275863,58.585519999999995,13.330810126582278,,13740.0,10.060670588235295
2023-01-01 13:00:00,8.08998780487805,1.44,193.1833333333333,5.254830188679245,32.74569387755102,1.851686046511628,3.6778750000000002,0.55,0.28613793103448276,57.57772,13.89979746835443,,15480.0,10.849011627906977
2023-01-01 14:00:00,9.331768292682927,1.1346153846153846,197.96666666666667,5.268781818181819,32.82032653061224,1.8975232558139536,4.10225,1.05,0.3663448275862069,56.83292,16.29626582278481,,12430.0,12.152720930232558
2023-01-01 15:00:00,11.953829268292683,2.346923076923077,239.33333333333334,5.275472727272727,32.09326530612245,2.5500232558139535,4.5905000000000005,1.4,0.4519655172413793,53.950900000000004,15.944835443037976,,31520.0,15.746174418604651
2023-01-01 16:00:00,15.13189024390244,4.903846153846154,308.6666666666667,5.639909090909091,31.17765306122449,3.1615,6.305875,2.0,0.6077241379310344,50.7717,16.98592405063291,,55660.0,19.746232558139535
2023-01-01 17:00:00,15.987926829268293,2.970769230769231,345.6666666666667,6.6590384615384615,29.99730612244898,3.1631162790697678,7.2700000000000005,1.25,0.7106551724137932,48.060500000000005,18.01746835443038,,28370.0,20.483127906976744
2023-01-01 18:00:00,15.346487804878048,2.1569230769230767,327.21666666666664,6.893363636363636,28.77161224489796,2.712453488372093,5.702875,0.95,0.7869310344827587,45.205299999999994,18.230987341772153,,17310.0,19.272837209302324
2023-01-01 19:00:00,12.23040243902439,1.6476923076923076,259.21666666666664,6.921574074074074,28.221714285714285,1.9708837209302326,5.180375,0.75,0.6898620689655173,45.9403,15.431582278481013,,17730.0,15.110058139534884
2023-01-01 20:00:00,11.699878048780487,1.3853846153846154,297.90000000000003,5.874509090909092,27.601959183673472,1.9179883720930233,4.6235,1.05,0.7048965517241379,44.8187,12.805632911392404,,7750.0,14.670697674418605
2023-01-01 21:00:00,11.778621951219511,1.0823076923076924,280.96666666666664,5.498363636363637,27.418551020408163,2.3996627906976746,3.8112500000000002,0.8,0.7033103448275863,44.68548,10.516278481012659,,7630.0,15.599709302325582
2023-01-01 22:00:00,10.83391463414634,0.9869230769230769,258.8333333333333,5.549436363636364,27.065489795918367,1.5896279069767443,3.5997500000000002,1.15,0.601448275862069,45.006499999999996,10.689860759493671,,4670.0,13.23303488372093
2023-01-01 23:00:00,9.961841463414634,1.1907692307692308,250.46666666666667,6.272574074074074,26.35783673469388,1.5081511627906976,3.36275,0.6499999999999999,0.5596551724137931,43.9887,11.496708860759494,,6370.0,12.298023255813952
2023-01-02 00:00:00,9.912654320987654,2.0992307692307692,253.91666666666666,6.317,24.997816326530614,1.792823529411765,5.1525,1.35,0.5635517241379311,42.193900000000006,11.632240506329113,,4320.0,12.591988235294117
2023-01-02 01:00:00,9.086317073170731,1.7761538461538462,282.2,7.435127272727273,24.044510204081632,1.2721627906976745,4.204,1.6,0.5886896551724138,40.7151,14.594810126582278,,7270.0,11.117488372093023
2023-01-02 02:00:00,9.020926829268292,3.04923076923077,249.08333333333334,6.978407407407407,22.959555555555557,1.2816951219512196,4.232875,2.1,0.582344827586207,38.52311111111111,15.557797468354432,,6710.0,10.988121951219512
2023-01-02 03:00:00,8.520768292682927,1.567692307692308,211.88333333333333,6.899259259259259,23.37538775510204,0.9574883720930234,3.66275,1.1,0.5637931034482759,39.34048,15.016772151898735,,5330.0,10.119
2023-01-02 04:00:00,8.731829268292683,0.9838461538461539,200.29999999999998,6.084654545454546,24.11542857142857,0.7858720930232558,3.8065,1.05,0.5161379310344828,40.34628,14.078417721518987,,6540.0,10.035523255813953
2023-01-02 05:00:00,8.80951219512195,0.600909090909091,194.9,4.736090909090909,26.59442857142857,1.0486511627906976,3.37825,,0.4590344827586207,45.25588,8.923037974683544,,8300.0,10.466976744186047
2023-01-02 06:00:00,9.939158536585365,0.9036363636363636,189.61666666666667,2.1649230769230767,30.28104081632653,1.2572558139534884,3.008375,0.55,0.28065517241379306,52.359080000000006,7.372115384615384,,10540.0,11.800069767441862
2023-01-02 07:00:00,12.145621951219512,0.8346153846153845,198.41666666666666,1.5621632653061224,33.486061224489795,2.1377441860465116,2.65075,0.7,0.25217241379310346,56.3953,6.417428571428571,,15510.0,15.399267441860465
2023-01-02 08:00:00,12.696341463414633,0.7423076923076923,180.76666666666665,0.7066,34.92995918367347,2.0883837209302327,2.201,0.6000000000000001,0.23917241379310344,59.17308,4.195616438356164,,16990.0,15.886558139534882
2023-01-02 09:00:00,12.885451219512195,0.7930769230769231,196.16666666666666,0.5289200000000001,35.574551020408165,2.4592558139534884,2.559285714285714,0.6499999999999999,0.21948275862068967,59.68068,5.0015,,11400.0,16.535081395348836
2023-01-02 10:00:00,15.88872839506173,0.5923076923076922,193.73333333333335,1.455862745098039,35.75,3.5976352941176466,2.882285714285714,0.75,0.2507931034482759,56.55508,6.021272727272727,,20710.0,21.2422
2023-01-02 11:00:00,17.156975308641975,0.5853846153846154,176.03333333333333,2.1898653846153846,35.45489583333333,4.166341176470588,2.2067142857142854,0.8,0.29392857142857143,55.088040816326526,6.468518987341772,,17340.0,23.34335294117647
2023-01-02 12:00:00,16.584617283950617,0.8846153846153846,184.85,3.001490566037736,35.16285416666667,4.068823529411765,1.8931428571428572,0.8,0.33586206896551724,55.8494693877551,9.093417721518987,,14060.0,22.53915294117647
2023-01-02 12:25:00,,,,,,,,,,,,11.3,,
